location,count,latitude,longitude
Singapore,5319,1.3521,103.8198
Jakarta,3283,-6.2088,106.8456
Kuala Lumpur,2630,3.139,101.6869
Central Region,2573,1.3048,103.8318
"South Jakarta, Jakarta",2238,-6.2608,106.7988
"Tangerang, Banten",1729,-6.1781,106.63
"West Jakarta, Jakarta",1648,-6.1674,106.7737
"Surabaya, East Java",1643,-7.2575,112.7521
"North Jakarta, Jakarta",1522,-6.1214,106.8591
"Central Jakarta, Jakarta",1201,-6.1865,106.8467
"Bandung, West Java",1185,-6.9175,107.6191
"Semarang, Central Java",1037,-6.9932,110.4203
Bali,971,-8.3405,115.092
West Region,917,1.3508,103.6897
East Region,848,1.3498,103.9501
"Petaling Jaya, Selangor",804,3.1073,101.6067
"Kuala Lumpur City Centre, Kuala Lumpur",780,3.1571,101.7112
"Bekasi, West Java",744,-6.2349,106.9896
"Johor Bahru, Johor",735,1.4927,103.7414
"Denpasar, Bali",707,-8.6529,115.2192
"Badung, Bali",706,-8.6053,115.1958
"Makassar, South Sulawesi",556,-5.1477,119.4327
"Shah Alam, Selangor",549,3.0733,101.5185
Penang,491,5.4141,100.3288
North Region,486,1.4204,103.7932
"South Tangerang, Banten",476,-6.2886,106.7179
"Yogyakarta, Yogyakarta Special Region",446,-7.7956,110.3695
Selangor,394,3.075,101.525
"Medan, North Sumatra",387,3.5952,98.6722
"Kuching, Sarawak",355,1.5581,110.3526
"East Jakarta, Jakarta",344,-6.225,106.9096
"Kebayoran Lama, Jakarta",335,-6.2388,106.7793
"Tuas, West Region",334,1.3285,103.6412
"Kota Kinabalu, Sabah",331,5.9804,116.0735
"Bogor, West Java",326,-6.595,106.7887
"Changi, East Region",321,1.3612,103.9808
West Java,312,-6.9,107.6
"Batam, Riau Islands",305,1.1305,104.0455
"Subang Jaya, Selangor",305,3.0505,101.5856
"Kemayoran, Jakarta",297,-6.1562,106.8546
"Woodlands, North Region",293,1.4373,103.7855
"Bayan Lepas, Penang",286,5.2967,100.2673
"Kampong Ubi, Central Region",284,1.3274,103.8961
"Puchong, Selangor",281,3.0268,101.6136
"South Cikarang, West Java",273,-6.324,107.163
"Jurong East, West Region",260,1.3445,103.7329
Indonesia,259,-6.2088,106.8456
"Klang, Selangor",258,3.0449,101.4445
"Gresik, East Java",254,-7.1539,112.6538
"Malang, East Java",251,-7.9775,112.6331
Jakarta Raya,251,-6.2088,106.8456
"Karawang, West Java",250,-6.3051,107.3048
"Tangerang District, Banten",230,-6.1996,106.4897
East Kalimantan,227,0.5387,116.4193
"Sleman, Yogyakarta Special Region",226,-7.7162,110.3583
"Ang Mo Kio, North-East Region",224,1.3755,103.8391
"Raffles Place, Central Region",223,1.2847,103.8513
"Ipoh, Perak",222,4.5975,101.0901
"Depok, West Java",207,-6.3933,106.8187
"Balikpapan, East Kalimantan",201,-1.2692,116.8272
Melaka,198,2.1896,102.2501
"Sidoarjo, East Java",198,-7.4478,112.7183
"Orchard, Central Region",196,1.3052,103.8318
"Banjarmasin, South Kalimantan",193,-3.3144,114.5925
"South Kuta, Bali",189,-8.7951,115.1798
"Surakarta, Central Java",189,-7.5667,110.8167
"Jakarta Selatan, Jakarta Raya",183,-6.2608,106.7988
"Singapore River, Central Region",178,1.2878,103.8489
"Senai, Johor",172,1.5981,103.6415
"Palembang, South Sumatra",166,-2.9761,104.7754
Johor,164,1.4927,103.7414
"Perai, Penang",155,5.3808,100.3853
"Jakarta Utara, Jakarta Raya",154,-6.1214,106.8591
"South Denpasar, Bali",152,-8.6877,115.2335
"West Bandung, West Java",152,-6.8513,107.5133
"Seminyak, Bali",152,-8.6912,115.1614
"Tangerang Regency, Banten",151,-6.1996,106.4897
Yogyakarta Special Region,150,-7.8754,110.3465
North Sumatra,149,3.5952,98.6722
"Cirebon, West Java",147,-6.7372,108.5505
"Cikarang Pusat, West Java",147,-6.3182,107.1697
"Petaling, Selangor",146,3.0904,101.6186
"Tampines, East Region",142,1.3548,103.9444
Central Kalimantan,142,-2.4,113.5
"Batu Kawan, Penang",142,5.2738,100.4364
